,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalized,hospitalizedcurrently,hospitalizeddischarged
379,,Shanghai,China,112.0,1.0,5.0,,20210119,289939,,,1066.0,
380,,Fujian,China,101.0,,,,20210119,289939,,,1066.0,
381,,Guangxi,China,78.0,,2.0,,20210119,289939,,,1066.0,
382,,Yun,China,70.0,,,,20210119,289939,,,1066.0,
383,,Hebei,China,65.0,1.0,,,20210119,289939,,,1066.0,
384,,Shaanxi,China,63.0,,,,20210119,289939,,,1066.0,
385,,Hai,China,46.0,1.0,1.0,,20210119,289939,,,1066.0,
386,,Heilongjiang,China,44.0,2.0,,,20210119,289939,,,1066.0,
387,,Liaoning,China,41.0,,1.0,,20210119,289939,,,1066.0,
388,,Shanxi,China,35.0,,1.0,,20210119,289939,,,1066.0,
389,,Tianjin,China,31.0,,,,20210119,289939,,,1066.0,
390,,Gansu,China,26.0,,,,20210119,289939,,,1066.0,
391,,Inner Mongolia,China,19.0,,,,20210119,289939,,,1066.0,
392,,Ningxia,China,17.0,,,,20210119,289939,,,1066.0,
393,,Jilin,China,14.0,,1.0,,20210119,289939,,,1066.0,
394,,Xinjiang,China,14.0,,,,20210119,289939,,,1066.0,
395,,Guizhou,China,12.0,,1.0,,20210119,289939,,,1066.0,
396,,Hong Kong,Hong Kong,10.0,,,,20210119,289939,,,1066.0,
397,,Taiwan,Taiwan,9.0,,,,20210119,289939,,,1066.0,
398,,Qinghai,China,8.0,,,,20210119,289939,,,1066.0,
399,,Macau,Macau,7.0,,,,20210119,289939,,,1066.0,
400,,Tibet,China,1.0,,,,20210119,289939,,,1066.0,
401,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
402,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
403,,California,US,2.0,,,,20210119,289939,,,1066.0,
404,,Arizona,US,1.0,,,,20210119,289939,,,1066.0,
405,,,Japan,11.0,,1.0,,20210119,289939,,,1066.0,
406,,,Thailand,14.0,,5.0,,20210119,289939,,,1066.0,
407,,,South Korea,4.0,,,,20210119,289939,,,1066.0,
408,,,Singapore,10.0,,,,20210119,289939,,,1066.0,
